@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1975, 124, 8000000, 260000000, 8, 449699, 10, 18
1935, 101, 609000, 3000000, 7.8, 14228, 2, 2
1982, 113, 11000000, 78900000, 7.7, 96577, 3, 9
1996, 88, 80000000, 90443600, 6.3, 122777, 5, 7
1962, 126, 80000000, 65948700, 8, 63683, 5, 6
1996, 135, 890000, 24475400, 8, 76312, 13, 15
1991, 88, 25000000, 78656800, 6, 44651, 3, 1
1997, 75, 250000, 203134, 7, 1504, 3, 4
1951, 92, 80000000, 79363800, 7.8, 67399, 2, 1
1993, 271, 25000000, 10770000, 7.7, 22811, 1, 1
1955, 105, 23000000, 10660100, 6.7, 862, 1, 1
1995, 192, 50000000, 13561000, 7.1, 25256, 10, 13
1996, 120, 14500000, 46338700, 6.8, 178722, 15, 27
1974, 121, 82000000, 158115000, 7.1, 13965, 2, 3
1996, 110, 55000000, 38553800, 6.8, 48716, 0, 5
1988, 92, 1100000, 11806100, 6.8, 62847, 0, 1
1996, 123, 32000000, 104633000, 6.4, 66517, 7, 8
1994, 97, 25000000, 22200000, 6.7, 43145, 4, 4
1987, 102, 15000000, 7556710, 5.7, 1051, 0, 3
1974, 127, 17000000, 96471800, 7.4, 24, 0, 1
1998, 178, 90000000, 44606300, 7.1, 179187, 3, 6
1974, 98, 9000000, 16235300, 7.2, 23557, 2, 2
1995, 81, 55000000, 141600000, 6.7, 132043, 13, 6
1967, 88, 45000000, 19377700, 7.7, 42458, 2, 5
1996, 93, 8500000, 15171500, 5.7, 21796, 0, 1
1996, 95, 1300000, 695229, 7.2, 11871, 0, 4
1996, 108, 26000000, 25809800, 6.9, 53103, 3, 7
1993, 130, 25000000, 56505100, 7.8, 102782, 0, 2
1995, 124, 98000000, 11000000, 5.6, 22348, 0, 1
1996, 136, 75000000, 134007000, 7.4, 272570, 9, 8
1991, 112, 6000000, 57504100, 7.8, 101161, 11, 14
1996, 101, 20000000, 9714480, 6.8, 31552, 11, 11
1997, 135, 75000000, 76081500, 6.7, 80838, 4, 1
1987, 100, 28000000, 153665000, 6.5, 90282, 6, 2
1994, 99, 5000000, 3049140, 7.4, 52510, 17, 13
1982, 114, 35000000, 69700000, 5.8, 8189, 0, 2
1989, 99, 7500000, 106593000, 7.4, 78691, 17, 24
1982, 110, 5000000, 14100000, 7.2, 15794, 3, 5
1996, 111, 40000000, 20300000, 6.2, 17445, 0, 1
1957, 161, 3000000, 27200000, 8.2, 162692, 23, 7
1990, 124, 70000000, 117541000, 7.1, 286549, 1, 1
1995, 101, 2500000, 5400000, 8.1, 204149, 1, 7
1995, 121, 100000000, 184031000, 5.4, 202466, 10, 22
1995, 106, 6000000, 23272300, 8.6, 805719, 32, 15
1997, 106, 36000000, 12339600, 7.8, 235807, 6, 14
1987, 102, 11000000, 167781000, 5.9, 39227, 2, 1
1990, 106, 50000000, 41482200, 6.3, 74493, 0, 6
1987, 119, 14000000, 156646000, 6.9, 59705, 7, 16
1996, 114, 80000000, 32885600, 5.8, 56146, 1, 3
1993, 127, 63000000, 356784000, 8.1, 677056, 31, 21
1986, 89, 8000000, 52287400, 8.1, 294878, 4, 11
1986, 99, 1900000, 4600000, 7.1, 12702, 4, 5
1992, 117, 45000000, 83287400, 6.9, 85808, 1, 2
1978, 110, 6000000, 181360000, 7.2, 183609, 3, 7
1992, 100, 12500000, 10725200, 7.8, 81571, 6, 10
1963, 115, 2000000, 24800000, 7.5, 95412, 3, 5
1953, 78, 12000000, 4884660, 6.5, 5690, 0, 1
1990, 120, 9000000, 349618, 6.1, 4664, 0, 2
1994, 154, 8000000, 107930000, 8.9, 1440838, 60, 68
1993, 141, 45000000, 100768000, 6.6, 63318, 1, 2
1995, 101, 18000000, 70360300, 5.8, 86346, 1, 3
1936, 87, 1500000, 163245, 8.5, 159935, 4, 1
1988, 92, 15000000, 73326700, 7.5, 204837, 7, 11
1993, 125, 25000000, 219200000, 6.9, 196550, 9, 9
1991, 91, 450000, 2712290, 5.9, 499, 4, 5
1976, 119, 9000000, 25000000, 6.8, 42720, 7, 2
1997, 115, 75000000, 101087000, 6.8, 237755, 7, 9
1996, 101, 15000000, 24881000, 6.3, 61410, 1, 2
1994, 141, 115000000, 146282000, 7.2, 201377, 7, 19
1988, 92, 75000000, 118823000, 7, 17061, 0, 7
1995, 116, 53000000, 91400000, 7.3, 85886, 5, 6
1997, 107, 12000000, 141853, 6, 1505, 0, 1
1991, 100, 70000000, 17218100, 5.8, 45321, 3, 5
1973, 97, 15500000, 7774730, 6.3, 991, 0, 1
1989, 145, 69500000, 54222000, 7.6, 139230, 8, 15
1997, 93, 80000000, 92969800, 5.2, 69039, 3, 2
1997, 100, 15000000, 353743, 6.3, 614, 2, 6
1993, 98, 15000000, 68856300, 6.9, 74743, 2, 2
1989, 108, 40000000, 118500000, 7.8, 373098, 9, 8
1964, 170, 17000000, 72000000, 7.9, 71781, 16, 13
1988, 188, 65000000, 182204000, 7.2, 330, 1, 7
1967, 152, 71500000, 144156000, 6.2, 6683, 4, 14
1995, 123, 20000000, 32051900, 6.6, 44649, 2, 1
1983, 131, 32500000, 309125000, 8.4, 753671, 20, 16
1990, 84, 13000000, 28501600, 5.7, 33962, 0, 1
1954, 207, 2000000, 269061, 8.7, 248602, 5, 6
1985, 92, 2200000, 21300000, 4.8, 24615, 0, 2
1992, 99, 1200000, 2812030, 8.3, 727034, 10, 20
1997, 132, 16000000, 1508690, 6.7, 5866, 10, 7
1986, 103, 18000000, 41382800, 6.3, 28351, 3, 9
1981, 152, 50000000, 51019100, 8.1, 8591, 0, 5
1985, 116, 19000000, 210610000, 8.5, 806782, 19, 25
1964, 95, 160000, 12438, 8.1, 968, 4, 1
1991, 118, 19000000, 130727000, 8.6, 978028, 49, 38
1989, 124, 15000000, 10763500, 6.4, 14533, 0, 1
1963, 112, 80000000, 91188900, 7.6, 28091, 0, 1
1995, 128, 90000000, 100012000, 7.6, 315516, 2, 3
1994, 93, 20000000, 11784000, 4.4, 7138, 0, 3
1996, 116, 19000000, 1292530, 6.3, 3701, 3, 1
1992, 91, 12000000, 21370100, 6, 10876, 0, 4
1994, 128, 55000000, 83000000, 6, 38846, 2, 2
1972, 107, 80000000, 17593400, 7.1, 157, 1, 1
1988, 131, 28000000, 81350200, 8.2, 640727, 6, 2
1993, 195, 22000000, 96067200, 8.9, 945211, 78, 44
1988, 107, 13000000, 44726600, 6.8, 45413, 1, 2
1988, 96, 7000000, 20257000, 5.2, 8004, 0, 1
1986, 118, 115000000, 93050100, 6.8, 28, 0, 1
1940, 125, 2280000, 76400000, 7.8, 75659, 8, 1
1989, 140, 130000000, 49551700, 6.2, 154, 2, 1
1995, 130, 58000000, 106636000, 7.2, 208173, 2, 6
1995, 105, 30250000, 72077000, 6.9, 65825, 5, 15
1979, 132, 35000000, 82300000, 6.4, 67906, 4, 16
1993, 112, 70000000, 84049200, 6.4, 102005, 1, 7
1995, 128, 45000000, 20303000, 4.6, 52930, 10, 10
1949, 94, 90000000, 50628000, 7, 3671, 0, 3
1993, 120, 32000000, 36733900, 7.1, 41703, 1, 1
1995, 90, 30000000, 108360000, 6.3, 170748, 7, 7
1997, 124, 60000000, 54910600, 6.4, 92181, 1, 4
1997, 122, 4500000, 713413, 7.8, 9465, 16, 6
