tt0055279	6.5	1961	May
tt0055438	6.3	1961	Jun
tt0054898	6.2	1961	Jul
tt0055058	3.9	1961	Jul
tt0054679	6.1	1961	Jul
tt0053903	5.2	1961	Sep
tt0177880	6.8	1961	Jun
tt0054861	7	1961	Jul
tt0055270	7.7	1961	Dec
tt0056032	5.7	1962	Apr
tt0206692	7	1962	Oct
tt0056089	6.3	1962	Sep
tt0056134	8	1962	May
tt0056234	6.7	1962	Jun
tt0055564	5.3	1962	Feb
tt0056671	6.8	1962	Mar
tt0055832	6.7	1962	Jul
tt0056566	6.1	1962	Feb
tt0055962	6.6	1962	Nov
tt0055824	7.8	1962	Apr
tt0056592	8.3	1962	Mar
tt0055963	6.1	1962	May
tt0056162	7.2	1962	Jun
tt0055850	7.8	1962	Oct
tt0056466	7.2	1962	Aug
tt0055871	7.6	1962	Jul
tt0055841	5.8	1962	Oct
tt0056368	6.6	1962	Aug
tt0056347	6.4	1962	Aug
tt0056139	6	1962	Sep
tt0056397	7.2	1962	Apr
tt0054619	7.3	1962	Mar
tt0055588	7.2	1962	Feb
tt0056063	6.5	1962	Sep
tt0056048	7.2	1962	Nov
tt0056305	5.1	1962	Oct
tt0056283	7	1962	Sep
tt0055728	7.8	1962	Jun
tt0055892	7.4	1962	Nov
tt0056267	6.5	1962	Feb
tt0057093	6.9	1962	Oct
tt0057270	4.2	1962	Apr
tt0055484	7.1	1962	May
tt0055922	5	1962	Jun
tt0056093	7	1962	Oct
tt0056215	7.9	1962	Jan
tt0056534	6.2	1962	Sep
tt0262455	8.6	1962	Jun
tt0055399	7.5	1962	Mar
tt0055972	7.3	1962	Jun
tt0147806	7.3	1962	Mar
tt0056037	6.6	1962	Apr
tt0055797	6.3	1962	Dec
tt0056210	7.7	1962	Mar
tt0056349	6	1962	Jun
tt0056186	6.5	1962	Aug
tt0056183	7	1962	Feb
tt0056736	7.9	1962	Dec
tt0057011	7.2	1962	Feb
tt0056703	6.7	1962	Jun
tt0056353	6.6	1962	May
tt0056693	3.6	1962	Dec
tt0056630	6	1962	Feb
tt0056262	7.7	1962	Jun
tt0056023	5.6	1962	Nov
tt0138075	6.2	1962	Mar
tt0056526	6	1962	Mar
tt0056112	6.5	1962	Jun
tt0056648	5.1	1962	Dec
tt0056604	7	1962	Jul
tt0056735	3.6	1962	Aug
tt0056045	7.6	1962	Jul
tt0056606	6.4	1962	Oct
tt0056321	7	1962	Dec
tt0056098	5.8	1962	May
tt0056676	6.7	1962	Oct
tt0056552	6.9	1962	Dec
tt0056548	4.8	1962	Apr
tt0184739	6.8	1962	Nov
tt0055246	7.1	1962	May
tt0056341	6.4	1962	Oct
tt0055793	6.5	1962	Jun
tt0055019	7.8	1962	Jan
tt0056516	6.3	1962	Aug
tt0056268	6.4	1962	Oct
tt0056243	6.6	1962	Aug
tt0056673	5.9	1962	Sep
tt0056173	7.1	1962	Nov
tt0055990	5.7	1962	Feb
tt0055730	6.9	1962	Jul
tt0056637	5	1962	Apr
tt0141697	5.9	1962	Aug
tt0056428	7	1962	May
tt0056264	7.2	1962	Nov
tt0056248	7.6	1962	Aug
tt0054758	6.7	1962	Jun
tt0055811	5.1	1962	Apr
tt0055988	5.8	1962	Aug
tt0059160	6.6	1962	Oct
tt0169614	7.2	1963	Aug
tt0056847	6.1	1963	Dec
tt0057568	7.5	1963	Jan
tt0057067	6.2	1963	Sep
tt0056818	7.3	1963	Jun
tt0057426	6.8	1963	Dec
tt0056499	2.5	1963	Feb
tt0055945	7.1	1963	Oct
tt0057590	6.7	1963	Dec
tt0056921	7.2	1963	Nov
tt0057622	6.1	1963	Oct
tt0057095	5.7	1963	Nov
tt0056952	6.9	1963	Feb
tt0057295	6.6	1963	Aug
tt0057284	6.2	1963	May
tt0057176	7.4	1963	Mar
tt0056271	7.2	1963	Apr
tt0056801	8.1	1963	Jun
tt0057535	6	1963	Feb
tt0057582	5.5	1963	Oct
tt0057134	6.8	1963	May
tt0206446	7.3	1963	Jun
tt0056993	6.4	1963	Mar
tt0056632	6.8	1963	Apr
tt0057513	7.3	1963	May
tt0056312	6.7	1963	Feb
tt0056854	6.8	1963	Mar
tt0057129	7.6	1963	Aug
tt0057706	4.5	1963	Jan
tt0057163	7.9	1963	May
tt0056987	6.4	1963	Jul
tt0056941	6.1	1963	Mar
tt0057919	5.9	1963	Nov
tt0057007	6.9	1963	Jul
tt0057254	7	1963	May
tt0057517	7	1963	Nov
tt0057242	7.2	1963	Dec
tt0057465	6.8	1963	Aug
tt0057066	5.3	1963	Aug
tt0056872	5.6	1963	May
tt0057378	5.2	1963	Sep
tt0056796	5.2	1963	Jul
tt0057434	5.6	1963	Jan
tt0057490	8	1963	Mar
tt0057090	6.4	1963	Jun
tt0056907	6.8	1963	Dec
tt0057004	5.7	1963	Aug
