@RELATION awards

@ATTRIBUTE year DATE "yyyy"
@ATTRIBUTE runtime NUMERIC
@ATTRIBUTE budget NUMERIC
@ATTRIBUTE revenue NUMERIC
@ATTRIBUTE averagerating NUMERIC
@ATTRIBUTE numvotes NUMERIC
@ATTRIBUTE class NUMERIC
@ATTRIBUTE nominations NUMERIC

@DATA
1912, 30, 200000000, 105220000, 5.8, 17, 0, 0
1948, 120, 11000000, 18381800, 7.4, 598, 0, 1
1925, 71, 10000, 673780, 6.7, 442, 0, 0
1960, 103, 80000000, 56684800, 7.6, 29479, 0, 1
1949, 30, 20000000, 71588200, 8.8, 82, 0, 0
1952, 76, 36000000, 50129200, 6.1, 39, 0, 0
1972, 91, 33000000, 48169900, 7.4, 356, 0, 0
1955, 91, 35000000, 39692100, 7.8, 21922, 2, 2
1938, 56, 45000000, 12026700, 5.9, 16, 0, 0
1980, 88, 3500000, 83400000, 7.8, 171910, 2, 6
1981, 98, 20000000, 8500000, 5.4, 2220, 1, 4
1976, 60, 92000000, 125306000, 6.5, 7327, 5, 8
1989, 106, 52000000, 164435000, 6.1, 466, 0, 0
1974, 93, 2600000, 119500000, 7.8, 104426, 3, 2
1977, 93, 4000000, 39200000, 8.1, 211178, 26, 8
1991, 95, 80000000, 41523300, 6.8, 134, 0, 0
1963, 103, 27000000, 38122100, 6.6, 627, 0, 0
1910, 11, 200000000, 137850000, 6.1, 409, 0, 0
1985, 87, 2200000, 30000000, 5.4, 47337, 0, 1
1910, 17, 44000000, 183876000, 5.7, 141, 0, 0
1984, 97, 16000000, 37300100, 6.6, 46, 0, 1
1995, 116, 53000000, 91400000, 7.3, 85886, 5, 6
1981, 87, 400000, 126387, 6.9, 16050, 0, 0
1994, 191, 63000000, 25052000, 6.7, 37762, 3, 4
1992, 100, 12500000, 10725200, 7.8, 81571, 6, 10
1969, 142, 7000000, 22800000, 6.8, 64250, 1, 3
1951, 92, 80000000, 79363800, 7.8, 67399, 2, 1
1946, 170, 2100000, 23650000, 8.1, 43950, 14, 2
1987, 60, 42000000, 138448000, 7.3, 9118, 2, 2
1975, 60, 80000000, 116643000, 6.6, 1148, 0, 1
1941, 96, 35000000, 10214000, 6.8, 170, 0, 0
1983, 101, 10000000, 29500000, 6.5, 27431, 1, 8
1940, 125, 2280000, 76400000, 7.8, 75659, 8, 1
1989, 105, 18000000, 8508840, 5.5, 7864, 0, 0
1970, 109, 900000, 9000000, 6.2, 8204, 0, 0
1935, 72, 7000000, 2148210, 6.5, 84, 0, 0
1984, 160, 18000000, 51600000, 8.3, 295519, 33, 14
1995, 107, 30000000, 46875500, 6.6, 214, 16, 3
1978, 117, 68000000, 71069900, 7.3, 62, 0, 1
1989, 96, 16000000, 92823600, 7.6, 159943, 4, 16
1995, 92, 13000000, 21088600, 6.7, 17578, 0, 1
1986, 120, 6000000, 137963000, 8.1, 314481, 19, 14
1979, 117, 19000000, 64255200, 6.2, 29330, 0, 7
1954, 79, 40000000, 67061200, 6.5, 668, 0, 0
1995, 100, 50000000, 100328000, 6, 93449, 4, 5
1982, 136, 21000000, 46700000, 5.9, 21142, 0, 0
1981, 127, 28000000, 62300000, 6.8, 76407, 2, 4
1986, 110, 35000000, 16295800, 4.6, 35726, 5, 4
1994, 88, 45000000, 422784000, 8.5, 713436, 33, 29
1926, 60, 90000000, 47474100, 7, 6, 0, 0
1935, 79, 225000, 2938210, 6.6, 79, 0, 0
1986, 92, 15500000, 1181200, 5.4, 470, 0, 1
1988, 95, 5000000, 136432, 5.4, 11, 0, 0
1993, 125, 25000000, 219200000, 6.9, 196550, 9, 9
1944, 63, 20000000, 17804300, 5.6, 57, 0, 0
1977, 105, 8000000, 34964000, 7.8, 5, 0, 1
1966, 50, 150000000, 257704000, 8.4, 57136, 9, 18
1964, 18, 20000000, 15712100, 6.4, 171, 0, 0
1954, 108, 910000, 9600000, 8.2, 110366, 21, 9
1984, 91, 1800000, 26505000, 7.5, 162610, 2, 3
1986, 90, 22000000, 9528090, 6.1, 469, 0, 0
1915, 0, 65000000, 59617100, 8.3, 7, 0, 0
1930, 75, 25000000, 30222600, 6.3, 33, 0, 0
1983, 88, 21000000, 15593, 7.4, 16, 0, 0
1993, 101, 14600000, 70907000, 8, 478065, 5, 11
1923, 70, 1000000, 21378000, 7, 27, 0, 0
1988, 92, 1100000, 11806100, 6.8, 62847, 0, 1
1986, 102, 35000000, 13101100, 4.1, 509, 0, 0
1943, 8, 150000000, 135382000, 7.5, 541, 0, 0
1994, 128, 40000000, 24332300, 6.1, 14556, 0, 0
1981, 30, 110000000, 142614000, 7.3, 11300, 3, 7
1964, 87, 560000, 515005, 7.7, 33516, 2, 5
1986, 97, 17000000, 2315680, 3, 4295, 1, 6
1965, 30, 20000000, 84518200, 8.4, 79, 0, 0
1988, 88, 5000000, 17768000, 5.9, 32121, 1, 2
1940, 258, 120000000, 98780000, 7.1, 372, 0, 0
1991, 92, 17000000, 9286310, 5.9, 5481, 0, 1
1994, 79, 8000000, 4350770, 6.6, 10881, 0, 0
1918, 60, 10000000, 3041800, 7.3, 9, 0, 0
1928, 74, 12000000, 37188700, 7.2, 226, 0, 0
1995, 123, 20000000, 32051900, 6.6, 44649, 2, 1
1973, 110, 777000, 115000000, 7.5, 67490, 9, 8
1966, 112, 1500000, 155972, 5.4, 223, 0, 0
1975, 125, 70000000, 18990500, 6.6, 18489, 3, 5
1995, 87, 5000000, 15126900, 5, 22605, 2, 1
1953, 98, 60000000, 114196000, 7.9, 28, 1, 1
1979, 120, 5000000, 43771300, 7, 69, 0, 1
1936, 73, 40000000, 19118200, 6.3, 35, 0, 0
1981, 118, 14000000, 800000, 5.3, 957, 0, 0
1994, 141, 62000000, 122013000, 6.9, 73683, 3, 7
1976, 93, 2000000, 952620, 6.8, 57, 0, 0
1990, 118, 21000000, 8855650, 7.8, 2790, 3, 3
1958, 60, 23000000, 21973200, 5.8, 20, 0, 0
1995, 105, 30250000, 72077000, 6.9, 65825, 5, 15
1959, 75, 19000000, 40846100, 6.9, 17452, 0, 0
1993, 98, 15000000, 68856300, 6.9, 74743, 2, 2
1973, 97, 15500000, 7774730, 6.3, 991, 0, 1
1991, 115, 35000000, 14587700, 5.7, 5123, 0, 0
1987, 119, 14000000, 156646000, 6.9, 59705, 7, 16
1908, 0, 18000000, 4414540, 3.1, 7, 0, 0
1932, 71, 70000000, 36931100, 4.9, 48, 0, 0
1926, 0, 59660000, 18947600, 6.1, 17, 0, 0
1993, 109, 14000000, 27515800, 5.9, 9745, 4, 4
